,BQ_score,BQ_score_percentile,V_score,V_score_percentile,BQ_RoC_score_percentile,BQ_growth_score_percentile,BQ_profitability_score_percentile,BQ_asset_intensity_score_percentile,BQ_capital_structure_score_percentile,BQ_reinvestment_score_percentile,BQ_shareholder_score_percentile
AAGIY,2.5,0.285,214.888,0.746,0.702,0.017,0.668,0.519,0.026,0.438,0.968
ZFSVF,-0.7,0.278,231.048,0.768,0.654,0.043,0.543,0.665,0.026,0.438,0.907
ZURVY,90.7,0.504,226.052,0.762,0.858,0.306,0.32,0.652,0.026,0.438,0.983
VWAPY,99.8,0.528,516.265,0.989,0.481,0.592,0.646,0.314,0.214,0.438,0.638
INFY,210.2,0.83,46.588,0.51,0.865,0.349,0.742,0.89,0.733,0.438,0.924
ENB,44.4,0.385,236.15,0.775,0.759,0.202,0.953,0.554,0.24,0.438,0.133
MELI,412.7,0.996,-7.963,0.434,0.992,0.982,0.819,0.973,0.126,0.923,0.298
DUK,64.4,0.436,11.413,0.46,0.595,0.437,0.884,0.228,0.099,0.438,0.189
GLCNF,33.4,0.359,300.812,0.856,0.335,0.17,0.195,0.86,0.392,0.438,0.93
FCX,108.3,0.552,-31.942,0.401,0.688,0.785,0.433,0.171,0.279,0.438,0.329
GLNCY,33.4,0.359,301.81,0.857,0.335,0.17,0.195,0.86,0.392,0.438,0.93
MAR,152.4,0.679,203.7,0.731,0.392,0.525,0.854,0.72,0.226,0.438,0.935
EQIX,111.1,0.56,-126.349,0.262,0.652,0.736,0.871,0.461,0.291,0.438,0.145
MITSF,321.8,0.967,629.906,0.999,0.891,0.964,0.716,0.802,0.49,0.438,0.937
MITSY,220.5,0.851,357.506,0.914,0.774,0.701,0.716,0.802,0.49,0.438,0.937
MO,57.2,0.418,397.594,0.943,0.029,0.205,0.983,0.757,0.126,0.438,0.344
MKKGY,136.6,0.635,95.075,0.582,0.687,0.526,0.576,0.067,0.872,0.954,0.638
MKGAF,181.5,0.759,87.309,0.57,0.584,0.694,0.855,0.077,0.817,0.965,0.638
PH,291.5,0.946,75.657,0.553,0.965,0.914,0.823,0.609,0.246,0.438,0.907
CL,277.4,0.933,71.918,0.547,0.997,0.626,0.884,0.859,0.026,0.438,0.359
VCISY,190.6,0.783,306.651,0.863,0.863,0.815,0.763,0.521,0.188,0.438,0.27
NABZY,131.8,0.62,53.717,0.52,0.741,0.591,0.754,0.522,0.026,0.438,0.889
TRI,305.1,0.957,13.093,0.462,0.978,0.382,0.989,0.482,0.639,0.438,0.98
WDAY,330.9,0.972,-185.12,0.144,0.859,0.974,0.87,0.769,0.684,0.807,0.638
WMMVY,196.4,0.797,114.729,0.611,0.824,0.55,0.69,0.778,0.747,0.438,0.638
PYPL,271.2,0.927,235.512,0.774,0.966,0.623,0.932,0.509,0.089,1.0,0.898
CSX,212.5,0.835,153.819,0.663,0.974,0.348,0.886,0.494,0.157,0.438,0.972
DBSDY,204.1,0.816,241.389,0.783,0.846,0.84,0.871,0.463,0.126,0.438,0.35
PSX,247.7,0.897,362.791,0.918,0.851,0.666,0.541,0.983,0.491,0.438,0.922
MCO,35.4,0.364,-39.435,0.391,0.287,0.505,0.241,0.491,0.269,0.438,0.638
MCK,30.6,0.352,265.525,0.813,0.013,0.234,0.605,0.955,0.126,0.438,0.931
BMO,-29.7,0.22,153.562,0.663,0.329,0.883,0.174,0.068,0.126,0.438,0.149
ZTS,317.2,0.965,4.134,0.451,0.988,0.735,0.962,0.063,0.293,0.973,0.982
APH,280.7,0.936,-7.721,0.434,0.957,0.806,0.875,0.526,0.761,0.438,0.896
BDX,112.9,0.565,-34.257,0.398,0.551,0.512,0.664,0.219,0.763,0.962,0.18
TDG,-45.0,0.193,16.695,0.468,0.013,0.179,0.974,0.043,0.226,0.438,0.246
CTAS,295.9,0.95,-147.91,0.222,0.984,0.793,0.861,0.467,0.598,0.438,0.906
RCRUY,301.9,0.955,537.312,0.993,0.834,0.922,0.486,0.911,0.909,0.438,0.983
NOC,139.8,0.644,47.32,0.511,0.794,0.515,0.323,0.706,0.309,0.438,0.966
TT,305.8,0.958,9.981,0.458,0.98,0.741,0.853,0.77,0.353,0.438,0.946
MS-PI,15.9,0.316,212.182,0.742,0.628,0.369,0.434,0.061,0.026,0.438,0.929
MS-PK,15.9,0.316,212.316,0.742,0.628,0.369,0.434,0.061,0.026,0.438,0.929
ISNPY,170.9,0.73,189.206,0.712,0.773,0.678,0.752,0.463,0.126,0.438,0.958
SMMNY,106.7,0.547,-30.393,0.403,0.585,0.464,0.475,0.125,0.305,0.988,0.895
FDX,212.7,0.835,198.506,0.724,0.823,0.576,0.599,0.884,0.248,0.438,0.995
GS-PK,17.1,0.318,206.939,0.736,0.559,0.397,0.408,0.062,0.026,0.438,0.953
MS-PF,15.9,0.316,215.175,0.747,0.628,0.369,0.434,0.061,0.026,0.438,0.929
BTAFF,-230.3,0.025,-29.518,0.404,0.121,0.104,0.054,0.04,0.447,0.044,0.406
BTI,-230.3,0.025,-29.518,0.404,0.121,0.104,0.054,0.04,0.447,0.044,0.406
MS-PE,15.9,0.316,217.395,0.749,0.628,0.369,0.434,0.061,0.026,0.438,0.929
USB,59.5,0.424,268.305,0.817,0.667,0.686,0.426,0.405,0.026,0.438,0.214
HNHPF,99.8,0.528,151.667,0.66,0.508,0.506,0.587,0.834,0.253,0.044,0.638
EMR,401.3,0.994,255.67,0.801,0.997,0.875,0.975,0.488,0.492,0.438,0.998
ITOCF,239.1,0.884,630.558,0.999,0.842,0.848,0.622,0.752,0.376,0.438,0.931
ITOCY,173.2,0.737,328.971,0.887,0.658,0.606,0.622,0.752,0.376,0.438,0.931
COIN,167.2,0.72,-151.085,0.216,0.666,0.897,0.783,0.826,0.026,0.807,0.184
ORLY,168.3,0.724,168.234,0.683,0.207,0.77,0.849,0.886,0.126,0.438,0.92
UNCRY,171.6,0.732,300.203,0.855,0.808,0.653,0.88,0.49,0.126,0.438,0.638
UNCFF,171.6,0.732,300.203,0.855,0.808,0.653,0.88,0.49,0.126,0.438,0.638
NTES,368.3,0.986,130.052,0.631,0.908,0.836,0.934,0.889,0.952,0.861,0.994
ECL,216.9,0.844,-84.608,0.327,0.885,0.735,0.839,0.471,0.364,0.438,0.342
PXD,189.5,0.78,253.007,0.798,0.827,0.671,0.453,0.653,0.97,0.438,0.876
BBVXF,221.4,0.853,264.467,0.812,0.835,0.816,0.694,0.738,0.126,0.438,0.97
EPD,91.6,0.507,,,0.287,0.318,0.866,0.794,0.269,0.438,0.251
LNSTY,108.4,0.552,17.006,0.468,0.481,0.728,0.48,0.252,0.026,0.438,0.983
ENLAY,31.3,0.353,272.648,0.822,0.349,0.489,0.305,0.623,0.026,0.438,0.863
BBVA,221.4,0.853,278.4,0.828,0.835,0.816,0.694,0.738,0.126,0.438,0.97
APO,369.7,0.987,224.619,0.759,0.994,0.955,0.955,0.543,0.026,0.438,0.958
LDNXF,41.1,0.378,-60.376,0.362,0.182,0.631,0.407,0.251,0.126,0.438,0.908
ITUB,58.1,0.42,265.385,0.813,0.287,0.528,0.241,0.758,0.269,0.438,0.638
PCAR,312.6,0.962,262.813,0.81,0.983,0.96,0.914,0.429,0.302,0.044,0.898
CTA-PB,127.9,0.608,-26.773,0.407,0.486,0.387,0.628,0.111,0.676,0.98,0.936
TKOMY,64.6,0.436,136.478,0.64,0.487,0.325,0.405,0.652,0.026,0.438,0.99
DUK-PA,64.4,0.436,55.964,0.524,0.595,0.437,0.884,0.228,0.099,0.438,0.189
OXY,59.9,0.425,291.93,0.845,0.569,0.401,0.118,0.469,0.541,0.438,0.998
AON,195.2,0.794,203.862,0.732,0.392,0.711,0.878,0.579,0.226,0.438,0.997
MRVL,-95.3,0.12,-285.244,0.017,0.183,0.638,0.049,0.183,0.724,0.807,0.18
CEG,171.7,0.732,-73.841,0.344,0.777,0.412,0.854,0.57,0.076,0.438,0.999
SPOT,97.4,0.522,-218.026,0.085,0.11,0.68,0.529,0.763,0.274,0.914,0.242
MURGY,59.8,0.424,145.867,0.653,0.692,0.199,0.444,0.672,0.026,0.438,0.976
BN,110.8,0.559,15.156,0.465,0.459,0.687,0.621,0.362,0.026,0.438,0.944
PNC,100.8,0.531,282.732,0.834,0.706,0.549,0.531,0.488,0.026,0.438,0.903
NXPI,258.5,0.912,123.031,0.622,0.97,0.631,0.893,0.227,0.322,0.845,0.949
BNS,-4.2,0.27,307.806,0.864,0.653,0.477,0.401,0.133,0.026,0.438,0.192
HNDAF,221.4,0.853,627.798,0.999,0.576,0.749,0.545,0.433,0.652,0.941,0.996
RSG,225.1,0.859,26.77,0.481,0.855,0.771,0.857,0.59,0.238,0.438,0.924
HMC,182.3,0.761,335.851,0.894,0.451,0.579,0.518,0.442,0.649,0.941,0.995
NTDOY,155.8,0.689,86.151,0.568,0.716,0.363,0.838,0.397,0.829,0.438,0.921
NTDOF,155.8,0.689,378.568,0.931,0.716,0.363,0.838,0.397,0.829,0.438,0.921
KDDIY,165.4,0.716,573.928,0.997,0.607,0.428,0.813,0.593,0.385,0.438,0.979
DSKYF,165.4,0.716,-106.225,0.294,0.667,0.811,0.834,0.063,0.683,0.807,0.403
DSNKY,137.2,0.637,476.914,0.98,0.576,0.666,0.834,0.063,0.683,0.807,0.403
AMX,45.3,0.388,261.39,0.809,0.453,0.312,0.327,0.504,0.187,0.438,0.95
MNST,309.8,0.961,-59.091,0.364,0.958,0.888,0.963,0.412,0.579,0.438,0.893
ROP,140.2,0.645,-38.566,0.392,0.278,0.87,0.449,0.186,0.945,0.438,0.904
SOBKY,138.4,0.64,563.316,0.996,0.78,0.511,0.823,0.544,0.126,0.438,0.323
MSI,307.8,0.959,26.521,0.481,0.945,0.748,0.947,0.658,0.126,0.988,0.947
VLO,283.2,0.938,441.553,0.966,0.916,0.64,0.645,0.984,0.511,0.438,0.939
DASTY,227.6,0.864,-122.655,0.267,0.785,0.741,0.856,0.486,0.848,0.834,0.389
DASTF,203.0,0.813,-103.92,0.297,0.628,0.681,0.907,0.468,0.737,0.84,0.348
CRH,133.8,0.626,209.111,0.738,0.766,0.464,0.687,0.378,0.434,0.438,0.638
ANZGY,96.4,0.518,237.146,0.777,0.667,0.603,0.677,0.506,0.026,0.438,0.255
INGVF,25.8,0.34,95.272,0.583,0.448,0.26,0.39,0.769,0.026,0.438,0.348
ING,176.0,0.744,201.235,0.728,0.82,0.654,0.801,0.767,0.026,0.438,0.884
CHGCY,225.8,0.861,537.474,0.993,0.906,0.591,0.936,0.12,0.808,0.86,0.391
CHGCF,289.1,0.944,16.013,0.467,0.846,0.83,0.968,0.397,0.562,0.943,0.638
SWGAY,83.6,0.485,-88.285,0.322,0.489,0.421,0.847,0.033,0.706,0.438,0.393
DNZOY,205.4,0.818,162.447,0.675,0.621,0.701,0.677,0.48,0.921,0.438,0.985
DASH,242.9,0.89,-184.094,0.148,0.442,0.928,0.652,0.85,0.798,0.955,0.218
NSC,55.1,0.413,-17.915,0.42,0.756,0.309,0.397,0.401,0.188,0.438,0.88
CNSWF,341.7,0.978,-86.151,0.325,0.968,0.982,0.719,0.899,0.061,0.438,0.943
UMGNF,151.5,0.677,-113.116,0.284,0.686,0.718,0.611,0.711,0.159,0.438,0.407
UNVGY,151.5,0.677,-113.116,0.284,0.686,0.718,0.611,0.711,0.159,0.438,0.407
EW,249.3,0.9,-128.82,0.259,0.925,0.823,0.573,0.141,0.938,0.848,0.944
SPG,245.7,0.895,94.545,0.581,0.993,0.443,0.989,0.554,0.026,0.438,0.214
VLVLY,184.5,0.767,378.326,0.931,0.78,0.797,0.596,0.52,0.093,0.93,0.638
HINKF,177.3,0.748,40.529,0.501,0.695,0.894,0.541,0.332,0.398,0.438,0.638
HEINY,157.7,0.694,100.981,0.591,0.718,0.727,0.453,0.218,0.408,0.438,0.991
NU,100.0,0.529,-97.198,0.309,0.287,0.758,0.241,0.855,0.269,0.438,0.638
TEAM,95.6,0.516,-239.714,0.059,0.207,0.973,0.124,0.743,0.126,0.807,0.28
E,66.0,0.441,385.828,0.935,0.287,0.714,0.241,0.515,0.269,0.438,0.638
SNOW,77.8,0.47,-260.122,0.036,0.189,0.808,0.311,0.529,0.812,0.807,0.212
CPRT,379.3,0.99,-142.927,0.23,0.931,0.985,0.971,0.702,0.659,0.438,0.321
BKRKY,188.8,0.779,356.07,0.912,0.898,0.705,0.834,0.459,0.026,0.438,0.884
COF,73.1,0.458,311.172,0.868,0.617,0.614,0.326,0.389,0.026,0.438,0.94
WELL,91.7,0.507,-19.594,0.417,0.416,0.919,0.825,0.457,0.89,0.438,0.0
ANCTF,298.3,0.952,245.349,0.788,0.967,0.681,0.65,0.878,0.586,0.438,0.995
VALE,101.3,0.532,46.239,0.51,0.781,0.185,0.822,0.69,0.501,0.044,0.902
SMCI,440.3,0.998,-143.374,0.229,0.987,0.998,0.87,0.782,0.795,0.917,0.277
DXCM,334.1,0.974,-200.195,0.12,0.963,0.858,0.915,0.9,0.261,0.891,0.888
ET,-1.2,0.277,,,0.287,0.419,0.726,0.742,0.269,0.438,0.003
F,85.3,0.49,333.472,0.892,0.811,0.672,0.636,0.241,0.026,0.438,0.191
FSUGY,203.5,0.814,343.031,0.901,0.933,0.561,0.688,0.521,0.963,0.438,0.235
MMM,-190.1,0.043,-156.013,0.206,0.392,0.024,0.051,0.496,0.065,0.95,0.19
HLT,184.8,0.768,67.143,0.54,0.207,0.962,0.623,0.447,0.126,0.438,0.981
APD,181.8,0.76,16.661,0.468,0.851,0.622,0.929,0.68,0.435,0.044,0.262
AZO,183.9,0.765,239.581,0.78,0.207,0.908,0.842,0.841,0.126,0.438,0.638
AJG,104.7,0.542,-75.152,0.341,0.641,0.919,0.617,0.069,0.075,0.438,0.225
XIACF,43.4,0.383,358.977,0.915,0.159,0.193,0.307,0.726,0.801,0.951,0.88
XIACY,43.4,0.383,358.977,0.915,0.159,0.193,0.307,0.726,0.801,0.951,0.88
CARR,146.9,0.664,29.181,0.485,0.796,0.748,0.291,0.815,0.212,0.866,0.309
OLCLY,208.2,0.825,376.943,0.929,0.723,0.675,0.939,0.449,0.738,0.438,0.405
MET,-111.0,0.104,119.501,0.617,0.456,0.123,0.3,0.087,0.026,0.438,0.194
FTNT,286.0,0.941,37.544,0.497,0.392,0.928,0.942,0.688,0.226,0.957,0.978
SCHW-PD,52.7,0.407,302.076,0.857,0.726,0.359,0.419,0.172,0.026,0.438,0.968
ADSK,264.8,0.92,-97.267,0.308,0.945,0.792,0.958,0.448,0.026,0.828,0.96
TRV,123.4,0.595,247.76,0.791,0.777,0.631,0.454,0.213,0.061,0.438,0.996
GM,147.6,0.667,354.81,0.911,0.818,0.61,0.588,0.587,0.084,0.438,0.907
BAESF,141.9,0.65,132.915,0.635,0.346,0.646,0.678,0.44,0.288,0.438,0.975
MFG,89.5,0.501,189.868,0.712,0.49,0.418,0.588,0.765,0.026,0.438,0.896
DHI,277.9,0.934,334.879,0.893,0.877,0.928,0.446,0.368,0.996,0.438,0.997
AIG,-90.2,0.126,299.887,0.855,0.443,0.127,0.156,0.074,0.026,0.438,0.919
PLTR,279.7,0.935,-120.268,0.273,0.62,0.996,0.699,0.791,0.867,0.846,0.185
BAESY,224.5,0.859,182.919,0.703,0.858,0.775,0.772,0.432,0.335,0.438,0.957
BASFY,27.9,0.345,189.952,0.712,0.368,0.104,0.47,0.401,0.432,0.875,0.88
TFC,-131.2,0.085,-5.703,0.437,0.169,0.261,0.148,0.114,0.026,0.438,0.193
EL,42.6,0.382,-131.525,0.256,0.845,0.361,0.288,0.697,0.087,0.438,0.216
WFAFY,208.5,0.826,193.492,0.717,0.98,0.643,0.645,0.794,0.167,0.438,0.227
DHLGY,228.2,0.865,309.714,0.867,0.766,0.721,0.627,0.893,0.291,0.438,0.992
SQ,255.6,0.908,-20.046,0.417,0.412,0.974,0.671,0.691,0.88,0.928,0.226
STZ,10.4,0.304,84.179,0.565,0.326,0.199,0.521,0.19,0.308,0.438,0.363
ADYEY,130.7,0.616,40.851,0.502,0.287,0.161,0.983,0.905,0.269,0.438,0.638
ADYYF,130.7,0.616,37.474,0.497,0.287,0.161,0.983,0.905,0.269,0.438,0.638
SU,237.7,0.882,386.386,0.936,0.891,0.567,0.699,0.623,0.747,0.438,0.993
HCMLY,107.2,0.549,286.814,0.839,0.693,0.216,0.892,0.184,0.801,0.438,0.638
NGG,219.1,0.848,215.766,0.747,0.905,0.797,0.959,0.177,0.214,0.438,0.299
JAPAY,180.8,0.757,274.362,0.824,0.662,0.774,0.938,0.078,0.835,0.438,0.409
ODFL,326.7,0.97,-121.411,0.271,0.966,0.636,0.859,0.895,0.836,0.438,0.996
PSA,183.5,0.764,93.888,0.58,0.829,0.644,0.771,0.817,0.579,0.438,0.192
PPRUY,135.2,0.63,238.813,0.779,0.9,0.612,0.649,0.055,0.297,0.438,0.347
PPRUF,135.2,0.63,218.717,0.751,0.9,0.612,0.649,0.055,0.297,0.438,0.347
GWW,374.4,0.988,90.821,0.575,0.976,0.928,0.85,0.807,0.365,0.438,0.999
MET-PA,-111.0,0.104,136.77,0.64,0.456,0.123,0.3,0.087,0.026,0.438,0.194
NGGTF,274.9,0.931,236.242,0.775,0.956,0.938,0.959,0.177,0.214,0.438,0.299
HES,155.4,0.688,-37.693,0.393,0.638,0.87,0.417,0.457,0.409,0.438,0.869
SXYAY,206.2,0.82,-28.824,0.405,0.897,0.9,0.679,0.505,0.333,0.438,0.191
SKFOF,203.8,0.815,-128.903,0.259,0.956,0.839,0.815,0.47,0.583,0.438,0.152
MQBKY,16.6,0.317,83.067,0.563,0.838,0.641,0.469,0.013,0.026,0.438,0.193
NUE,249.4,0.9,372.265,0.926,0.879,0.675,0.394,0.819,0.916,0.438,0.999
COR,212.7,0.835,273.517,0.823,0.945,0.294,0.555,0.956,0.126,0.438,0.998
CMPGF,241.9,0.889,94.054,0.58,0.959,0.533,0.662,0.899,0.167,0.438,0.98
CMPGY,241.9,0.889,94.054,0.58,0.959,0.533,0.662,0.899,0.167,0.438,0.98
WMB,241.7,0.888,255.681,0.801,0.969,0.568,0.984,0.582,0.081,0.438,0.271
MCHP,304.1,0.957,161.876,0.675,0.917,0.706,0.981,0.117,0.449,0.909,0.995
AFL,127.4,0.606,322.011,0.88,0.92,0.183,0.672,0.751,0.026,0.438,0.933
CRARY,25.1,0.338,295.277,0.849,0.485,0.31,0.517,0.29,0.026,0.438,0.869
IBKR,244.0,0.892,111.604,0.606,0.875,0.983,0.918,0.149,0.126,0.438,0.231
IFNNY,308.6,0.96,146.362,0.654,0.896,0.927,0.956,0.083,0.914,0.932,0.376
OKE,202.5,0.811,220.901,0.754,0.918,0.844,0.952,0.814,0.313,0.438,0.005
OVCHY,120.0,0.586,250.414,0.794,0.696,0.549,0.904,0.251,0.026,0.438,0.389
ROST,368.9,0.987,71.065,0.546,0.988,0.852,0.816,0.909,0.305,0.438,0.999
CM,41.8,0.379,280.781,0.831,0.647,0.681,0.402,0.202,0.026,0.438,0.222
DLR,60.3,0.426,-75.522,0.341,0.648,0.745,0.895,0.153,0.365,0.438,0.003
URI,352.5,0.982,86.966,0.57,0.978,0.95,0.836,0.477,0.261,0.438,0.999
NEM,-167.2,0.058,-248.702,0.048,0.146,0.64,0.08,0.293,0.534,0.044,0.002
KSPI,283.6,0.939,47.684,0.512,0.823,0.8,0.957,0.819,0.126,0.929,0.931
O,111.8,0.562,-4.444,0.439,0.492,0.977,0.893,0.154,0.651,0.438,0.0
DRPRY,134.9,0.629,265.74,0.813,0.864,0.224,0.878,0.422,0.315,0.438,0.638
JCI,43.9,0.384,161.082,0.673,0.287,0.365,0.241,0.855,0.269,0.438,0.638
KHC,127.5,0.607,269.259,0.818,0.597,0.371,0.874,0.235,0.873,0.438,0.317
PAYX,277.4,0.933,29.877,0.486,0.986,0.733,0.976,0.367,0.299,0.438,0.244
FERG,254.8,0.907,127.081,0.628,0.973,0.666,0.641,0.821,0.172,0.438,0.967
TEL,243.7,0.892,220.656,0.754,0.863,0.589,0.647,0.391,0.85,0.92,0.995
ALL,-12.4,0.254,-59.548,0.363,0.376,0.312,0.425,0.442,0.056,0.438,0.217
LEN-B,241.9,0.889,270.733,0.82,0.839,0.735,0.526,0.421,0.991,0.438,0.999
LEN,241.9,0.889,270.733,0.82,0.839,0.735,0.526,0.421,0.991,0.438,0.999
SRE,194.0,0.791,112.352,0.607,0.718,0.784,0.953,0.425,0.24,0.438,0.322
AEP,75.7,0.465,51.777,0.518,0.623,0.533,0.837,0.221,0.201,0.438,0.177
WCN,177.0,0.747,-89.645,0.32,0.634,0.726,0.753,0.574,0.352,0.438,0.894
RYCEY,38.7,0.372,319.507,0.878,0.035,0.304,0.897,0.202,0.226,0.922,0.317
RYCEF,38.7,0.372,319.507,0.878,0.035,0.304,0.897,0.202,0.226,0.922,0.317
LYG,153.7,0.683,324.166,0.883,0.782,0.707,0.773,0.439,0.026,0.438,0.904
MFC,130.3,0.615,323.128,0.882,0.836,0.253,0.615,0.794,0.126,0.438,0.944
LZAGF,28.2,0.345,-93.721,0.314,0.236,0.576,0.472,0.057,0.939,0.044,0.374
LZAGY,58.9,0.422,-96.269,0.31,0.528,0.505,0.287,0.308,0.673,0.044,0.973
IQV,227.4,0.864,51.33,0.517,0.931,0.584,0.825,0.649,0.077,0.438,0.986
JDCMF,107.2,0.549,465.735,0.976,0.654,0.462,0.637,0.994,0.296,0.044,0.168
JD,194.4,0.791,250.299,0.794,0.714,0.919,0.637,0.994,0.296,0.044,0.168
TAK,128.4,0.61,11.44,0.46,0.501,0.582,0.746,0.3,0.643,0.86,0.244
TKPHF,162.4,0.708,-16.653,0.422,0.597,0.778,0.746,0.3,0.643,0.86,0.244
LULU,449.5,0.998,39.19,0.499,0.993,0.991,0.945,0.715,0.917,0.438,0.926
DDOG,267.5,0.923,-177.694,0.161,0.557,0.995,0.697,0.77,0.799,0.807,0.202
TTD,307.1,0.959,-122.288,0.269,0.735,0.98,0.894,0.519,0.699,0.833,0.895
CCI,42.2,0.38,54.345,0.521,0.924,0.092,0.904,0.371,0.057,0.438,0.161
MET-PE,-111.0,0.104,165.59,0.679,0.456,0.123,0.3,0.087,0.026,0.438,0.194
HYMTF,91.0,0.505,378.233,0.93,0.587,0.67,0.713,0.474,0.194,0.044,0.267
ARES,262.1,0.917,-117.645,0.277,0.986,0.988,0.969,0.67,0.026,0.438,0.003
KMB,224.6,0.859,146.187,0.653,0.945,0.722,0.781,0.91,0.126,0.438,0.23
MSCI,190.8,0.783,43.853,0.506,0.207,0.494,0.995,0.348,0.126,0.941,0.955
AME,242.2,0.889,34.664,0.493,0.838,0.834,0.935,0.153,0.733,0.438,0.924
AMP,169.3,0.726,188.216,0.71,0.978,0.707,0.397,0.115,0.026,0.438,0.993
BK,57.0,0.417,258.517,0.805,0.668,0.427,0.648,0.088,0.126,0.438,0.41
DOW,-43.7,0.195,81.174,0.56,0.598,0.186,0.194,0.796,0.307,0.044,0.174
IDXX,366.9,0.986,-176.735,0.164,0.945,0.932,0.965,0.751,0.351,0.941,0.367
ENGIY,140.2,0.645,328.777,0.887,0.287,0.459,0.828,0.902,0.269,0.438,0.638
ENGQF,-1.8,0.276,139.048,0.643,0.145,0.615,0.181,0.498,0.026,0.438,0.406
A,266.0,0.921,17.176,0.468,0.925,0.615,0.732,0.181,0.847,0.971,0.987
MPLX,-34.7,0.21,360.656,0.916,0.013,0.068,0.989,0.211,0.226,0.438,0.233
D,59.3,0.423,42.921,0.505,0.667,0.405,0.943,0.115,0.09,0.438,0.185
MRNA,2.0,0.283,-223.656,0.076,0.392,0.23,0.063,0.899,0.883,0.807,0.922
FIS,-87.2,0.13,-62.027,0.359,0.207,0.02,0.489,0.148,0.301,0.438,0.292
KDP,178.7,0.751,108.959,0.602,0.693,0.572,0.938,0.203,0.483,0.438,0.93
CMI,106.8,0.548,62.246,0.533,0.672,0.8,0.294,0.848,0.15,0.919,0.175
GVDNY,195.2,0.794,-105.557,0.295,0.927,0.329,0.859,0.175,0.394,0.977,0.638
ALC,206.2,0.821,-101.872,0.3,0.58,0.66,0.879,0.059,0.966,0.989,0.949
FAST,259.7,0.913,-8.934,0.432,0.981,0.67,0.876,0.534,0.913,0.438,0.221
NRDBY,185.3,0.769,170.185,0.686,0.827,0.549,0.917,0.529,0.026,0.438,0.965
KMI,103.2,0.538,227.01,0.763,0.606,0.188,0.951,0.558,0.372,0.438,0.265
DTRUY,199.9,0.805,184.589,0.705,0.525,0.89,0.674,0.594,0.258,0.879,0.638
DANOY,36.7,0.367,149.795,0.658,0.559,0.291,0.698,0.29,0.289,0.044,0.34
GPDNF,65.1,0.438,138.267,0.642,0.487,0.585,0.466,0.312,0.47,0.044,0.355
PSA-PH,183.5,0.764,141.889,0.647,0.829,0.644,0.771,0.817,0.579,0.438,0.192
KR,213.6,0.837,270.587,0.819,0.894,0.645,0.54,0.96,0.18,0.438,0.413
BSBR,26.3,0.341,49.272,0.514,0.602,0.405,0.389,0.415,0.026,0.438,0.293
PPERY,228.7,0.866,443.92,0.967,0.929,0.793,0.9,0.437,0.126,0.438,0.638
PPWLM,-55.0,0.177,-305.332,0.008,0.165,0.387,0.14,0.582,0.238,0.438,0.206
CODYY,170.6,0.729,320.437,0.878,0.703,0.463,0.71,0.522,0.53,0.438,0.98
OTIS,112.9,0.565,183.822,0.704,0.118,0.553,0.829,0.902,0.126,0.044,0.995
CTVA,127.9,0.608,-17.461,0.421,0.486,0.387,0.628,0.111,0.676,0.98,0.936
PRU,-23.9,0.232,296.529,0.851,0.798,0.067,0.499,0.094,0.026,0.438,0.918
GEHC,95.2,0.515,102.986,0.594,0.885,0.083,0.602,0.673,0.098,0.958,0.323
DSCSY,208.8,0.827,376.389,0.929,0.837,0.646,0.98,0.081,0.629,0.438,0.404
CVE,196.0,0.796,306.324,0.862,0.554,0.521,0.473,0.874,0.831,0.438,0.999
PDRDF,177.9,0.749,189.264,0.712,0.694,0.655,0.943,0.08,0.408,0.438,0.963
PRNDY,167.1,0.72,170.381,0.686,0.794,0.627,0.885,0.064,0.367,0.438,0.958
HOCPF,231.8,0.872,536.954,0.993,0.907,0.649,0.946,0.086,0.501,0.438,0.971
HOCPY,169.4,0.726,-25.982,0.409,0.775,0.455,0.946,0.086,0.501,0.438,0.971
DKILY,170.8,0.73,574.886,0.997,0.593,0.795,0.661,0.333,0.839,0.438,0.411
DKILF,170.8,0.73,574.886,0.997,0.593,0.795,0.661,0.333,0.839,0.438,0.411
YUM,99.8,0.528,177.708,0.696,0.111,0.304,0.962,0.848,0.226,0.438,0.363
STM,399.9,0.994,254.63,0.8,0.956,0.972,0.928,0.594,0.996,0.933,0.907
STMEF,399.9,0.994,254.63,0.8,0.956,0.972,0.928,0.594,0.996,0.933,0.907
LHX,127.3,0.606,90.786,0.575,0.62,0.462,0.639,0.466,0.496,0.853,0.296
CGEMY,258.4,0.912,150.34,0.659,0.841,0.79,0.752,0.787,0.511,0.438,0.97
CAPMF,211.8,0.834,149.465,0.657,0.733,0.701,0.762,0.753,0.405,0.438,0.936
ADDDF,-63.3,0.163,-154.456,0.209,0.2,0.194,0.174,0.322,0.159,0.438,0.638
ADDYY,-55.8,0.176,-116.223,0.279,0.171,0.16,0.4,0.225,0.086,0.438,0.416
ARZGY,8.7,0.299,360.987,0.917,0.677,0.043,0.441,0.716,0.026,0.438,0.976
HSY,338.0,0.975,132.633,0.634,0.979,0.923,0.905,0.789,0.295,0.438,0.881
EXPGY,85.6,0.491,-46.562,0.382,0.438,0.392,0.461,0.581,0.393,0.438,0.892
ABEV,195.8,0.795,235.062,0.774,0.873,0.424,0.912,0.728,0.69,0.438,0.235
DBOEF,188.5,0.778,56.045,0.524,0.777,0.717,0.976,0.372,0.026,0.438,0.389
